Time	N	Total Energy	Total Internal Energy	Total Radiation Energy	Boundary Emission	Lost Energy
===============================================================================================================
0.000000	100000	0.000600	0.000600	0.000000	0.000000	0.000000
5.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
5.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
6.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
7.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
8.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
